t,u1,u2,u3,f1,f2
1.2204068,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2237412,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2270757,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2304101,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2337445,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.237079,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2404134,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2437478,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2470824,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2504168,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2537512,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2570857,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2604201,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2637546,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.267089,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2704234,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2737579,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2770923,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2804267,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2837613,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2870957,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2904301,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2937646,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.297099,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3004334,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3037679,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3071023,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3104367,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3137712,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3171057,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.32044,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3237746,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.327109,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3304434,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3337779,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3371123,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3404468,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3437812,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3471156,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3504502,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3537846,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.357119,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3604535,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3637879,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3671223,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3704568,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3737912,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3771256,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3804601,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3837945,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.387129,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3904635,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3937979,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.3971323,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4004668,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4038012,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4071357,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4104701,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4138045,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.417139,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4204735,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4238079,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4271424,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4304768,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4338112,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
